Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage,Einwohner,7-Tages-Inzidenz,Landkreis,7-Tages_neu
Weißenberg,1,13,3.096,4199,Bautzen,419.9
Haselbachtal,2,15,4.013,3738,Bautzen,373.8
Großharthau,3,10,2.793,3580,Bautzen,358
Großnaundorf,4,3,958,3132,Bautzen,313.2
Ohorn,5,6,2.454,2445,Bautzen,244.5
Radeberg,6,44,18.565,2370,Bautzen,237
Königsbrück,7,10,4.539,2203,Bautzen,220.3
Großpostwitz/O.L.,8,5,2.741,1824,Bautzen,182.4
Laußnitz,9,3,1.852,1620,Bautzen,162
Großröhrsdorf,10,15,9.615,1560,Bautzen,156
Hochkirch,11,3,2.256,1330,Bautzen,133
Göda,12,4,3.063,1306,Bautzen,130.6
Lichtenberg,13,2,1.618,1236,Bautzen,123.6
Neukirch,14,2,1.619,1235,Bautzen,123.5
Kubschütz,15,3,2.529,1186,Bautzen,118.6
Frankenthal,16,1,923,1083,Bautzen,108.3
Pulsnitz,17,8,7.468,1071,Bautzen,107.1
Lauta,18,7,8.363,837,Bautzen,83.7
Neschwitz,19,2,2.401,833,Bautzen,83.3
Kamenz,20,14,16.914,828,Bautzen,82.8
"Bernsdorf,  Stadt",21,5,6.422,779,Bautzen,77.9
Elstra,22,2,2.723,734,Bautzen,73.4
Bischofswerda,23,8,10.938,731,Bautzen,73.1
Großdubrau,24,3,4.249,706,Bautzen,70.6
Wachau,25,3,4.273,702,Bautzen,70.2
Hoyerswerda,26,22,32.405,679,Bautzen,67.9
Radibor,27,2,3.119,641,Bautzen,64.1
Arnsdorf,28,3,4.867,616,Bautzen,61.6
Steina,29,1,1.627,615,Bautzen,61.5
Wilthen,29,3,4.881,615,Bautzen,61.5
Sohland a.d. Spree,31,4,6.743,593,Bautzen,59.3
Ralbitz-Rosenthal,32,1,1.702,588,Bautzen,58.8
Spreetal,33,1,1.845,542,Bautzen,54.2
Bautzen,34,19,38.425,494,Bautzen,49.4
Panschwitz-Kuckau,35,1,2.09,478,Bautzen,47.8
Oßling,36,1,2.26,442,Bautzen,44.2
Cunewalde,37,2,4.593,435,Bautzen,43.5
Malschwitz,38,2,4.643,431,Bautzen,43.1
Schwepnitz,39,1,2.478,404,Bautzen,40.4
Ottendorf-Okrilla,40,4,9.98,401,Bautzen,40.1
Burkau,41,1,2.605,384,Bautzen,38.4
Demitz-Thumitz,42,1,2.634,380,Bautzen,38
Königswartha,43,1,3.458,289,Bautzen,28.9
Doberschau-Gaußig,44,1,4.135,242,Bautzen,24.2
Neukirch/Lausitz,45,1,4.847,206,Bautzen,20.6
Wittichenau,46,1,5.729,175,Bautzen,17.5
Schirgiswalde-Kirschau,47,1,6.185,162,Bautzen,16.2
Crostwitz,48,0,1.025,0,Bautzen,0
Elsterheide,48,0,3.463,0,Bautzen,0
Lohsa,48,0,5.232,0,Bautzen,0
Nebelschütz,48,0,1.226,0,Bautzen,0
Obergurig,48,0,2.07,0,Bautzen,0
Puschwitz,48,0,820,0,Bautzen,0
Räckelwitz,48,0,1.131,0,Bautzen,0
Rammenau,48,0,1.338,0,Bautzen,0
Schmölln-Putzkau,48,0,3.006,0,Bautzen,0
Steinigtwolmsdorf,48,0,2.811,0,Bautzen,0
Olbernhau,1,62,10.84,5720,Erzgebirgskreis,572
Bockau,2,12,2.225,5393,Erzgebirgskreis,539.3
Amtsberg,3,18,3.689,4879,Erzgebirgskreis,487.9
Deutschneudorf,4,4,990,4040,Erzgebirgskreis,404
Zschorlau,5,21,5.235,4011,Erzgebirgskreis,401.1
Gornsdorf,6,6,1.911,3140,Erzgebirgskreis,314
Eibenstock,7,22,7.261,3030,Erzgebirgskreis,303
Oberwiesenthal,8,6,2.078,2887,Erzgebirgskreis,288.7
Auerbach,9,7,2.455,2851,Erzgebirgskreis,285.1
Heidersdorf,10,2,784,2551,Erzgebirgskreis,255.1
Thum,11,13,5.118,2540,Erzgebirgskreis,254
Schlettau,12,6,2.368,2534,Erzgebirgskreis,253.4
Marienberg,13,42,16.906,2484,Erzgebirgskreis,248.4
Ehrenfriedersdorf,14,11,4.68,2350,Erzgebirgskreis,235
Zschopau,15,19,9.17,2072,Erzgebirgskreis,207.2
Thalheim/Erzgeb.,16,11,5.952,1848,Erzgebirgskreis,184.8
Schneeberg,17,25,13.873,1802,Erzgebirgskreis,180.2
Großolbersdorf,18,5,2.796,1788,Erzgebirgskreis,178.8
Mildenau,19,6,3.399,1765,Erzgebirgskreis,176.5
Bärenstein,20,4,2.282,1753,Erzgebirgskreis,175.3
Neukirchen/Erzgeb.,21,12,6.907,1737,Erzgebirgskreis,173.7
Crottendorf,22,6,4.052,1481,Erzgebirgskreis,148.1
Annaberg-Buchholz,23,29,19.619,1478,Erzgebirgskreis,147.8
Grünhain-Beierfeld,24,8,5.851,1367,Erzgebirgskreis,136.7
Sehmatal,25,8,6.378,1254,Erzgebirgskreis,125.4
Aue-Bad Schlema,26,25,20.353,1228,Erzgebirgskreis,122.8
Gelenau/Erzgeb.,27,5,4.133,1210,Erzgebirgskreis,121
Grünhainichen,28,4,3.346,1195,Erzgebirgskreis,119.5
Geyer,29,4,3.403,1175,Erzgebirgskreis,117.5
Drebach,30,6,5.127,1170,Erzgebirgskreis,117
Hohndorf,31,4,3.486,1147,Erzgebirgskreis,114.7
Schönheide,32,5,4.366,1145,Erzgebirgskreis,114.5
Lößnitz,33,9,8.201,1097,Erzgebirgskreis,109.7
Zwönitz,34,13,11.927,1090,Erzgebirgskreis,109
Lugau/Erzgeb.,35,8,8.005,999,Erzgebirgskreis,99.9
Stollberg/Erzgeb.,36,11,11.3,973,Erzgebirgskreis,97.3
Breitenbrunn/Erzgeb.,37,5,5.204,961,Erzgebirgskreis,96.1
Scheibenberg,38,2,2.083,960,Erzgebirgskreis,96
Pockau-Lengefeld,39,7,7.539,929,Erzgebirgskreis,92.9
Thermalbad Wiesenbad,40,3,3.242,925,Erzgebirgskreis,92.5
Burkhardtsdorf,41,5,6.118,817,Erzgebirgskreis,81.7
Gornau/Erzgeb.,42,3,3.767,796,Erzgebirgskreis,79.6
Jöhstadt,43,2,2.62,763,Erzgebirgskreis,76.3
Lauter-Bernsbach,44,6,8.628,695,Erzgebirgskreis,69.5
Schwarzenberg/Erzgeb.,45,11,16.447,669,Erzgebirgskreis,66.9
Stützengrün,46,2,3.146,636,Erzgebirgskreis,63.6
Oelsnitz/Erzgeb.,47,6,10.951,548,Erzgebirgskreis,54.8
Jahnsdorf/Erzgeb.,48,3,5.476,548,Erzgebirgskreis,54.8
Johanngeorgenstadt,49,2,3.897,513,Erzgebirgskreis,51.3
Wolkenstein,50,2,3.899,513,Erzgebirgskreis,51.3
Königswalde,51,1,2.22,450,Erzgebirgskreis,45
Raschau-Markersbach,52,2,4.997,400,Erzgebirgskreis,40
Großrückerswalde,53,1,3.356,298,Erzgebirgskreis,29.8
Börnichen/Erzgeb.,54,0,985,0,Erzgebirgskreis,0
Elterlein,54,0,2.849,0,Erzgebirgskreis,0
Niederdorf,54,0,1.28,0,Erzgebirgskreis,0
Niederwürschnitz,54,0,2.579,0,Erzgebirgskreis,0
Seiffen/Erzgeb.,54,0,2.098,0,Erzgebirgskreis,0
Tannenberg,54,0,1.101,0,Erzgebirgskreis,0
Gablenz,1,18,1.595,1.1285,Görlitz,0.11285
Kodersdorf,2,21,2.422,8671,Görlitz,867.1
Bertsdorf-Hörnitz,3,14,2.086,6711,Görlitz,671.1
Beiersdorf,4,5,1.14,4386,Görlitz,438.6
Trebendorf,5,3,854,3513,Görlitz,351.3
Schleife,6,7,2.4,2917,Görlitz,291.7
Neusalza-Spremberg,7,9,3.3,2727,Görlitz,272.7
Rosenbach,8,4,1.571,2546,Görlitz,254.6
Königshain,9,3,1.179,2545,Görlitz,254.5
Quitzdorf am See,10,3,1.24,2419,Görlitz,241.9
Bernstadt a.d. Eigen,11,7,3.354,2087,Görlitz,208.7
Rietschen,12,5,2.529,1977,Görlitz,197.7
Ebersbach-Neugersdorf,13,23,11.853,1940,Görlitz,194
Weißkeißel,14,2,1.284,1558,Görlitz,155.8
Kottmar,15,10,7.236,1382,Görlitz,138.2
Weißwasser/O.L.,16,20,15.886,1259,Görlitz,125.9
Schöpstal,17,3,2.396,1252,Görlitz,125.2
Neißeaue,18,2,1.706,1172,Görlitz,117.2
Mittelherwigsdorf,19,4,3.634,1101,Görlitz,110.1
Lawalde,20,2,1.835,1090,Görlitz,109
Bad Muskau,21,4,3.686,1085,Görlitz,108.5
Dürrhennersdorf,22,1,986,1014,Görlitz,101.4
Großschönau,23,5,5.363,932,Görlitz,93.2
Olbersdorf,24,4,4.663,858,Görlitz,85.8
Seifhennersdorf,25,3,3.66,820,Görlitz,82
Görlitz,26,45,55.98,804,Görlitz,80.4
Oderwitz,27,4,5.002,800,Görlitz,80
Großschweidnitz,28,1,1.259,794,Görlitz,79.4
Löbau,29,11,14.456,761,Görlitz,76.1
Niesky,30,7,9.343,749,Görlitz,74.9
Zittau,31,17,25.086,678,Görlitz,67.8
Vierkirchen,32,1,1.663,601,Görlitz,60.1
Horka,33,1,1.694,590,Görlitz,59
Krauschwitz i.d. O.L.,34,2,3.469,577,Görlitz,57.7
Leutersdorf,35,2,3.483,574,Görlitz,57.4
Markersdorf,36,2,3.901,513,Görlitz,51.3
Herrnhut,37,2,5.837,343,Görlitz,34.3
Boxberg/O.L.,38,0,4.402,0,Görlitz,0
Groß Düben,38,0,1.069,0,Görlitz,0
Hähnichen,38,0,1.247,0,Görlitz,0
Hainewalde,38,0,1.511,0,Görlitz,0
Hohendubrau,38,0,1.882,0,Görlitz,0
Jonsdorf,38,0,1.548,0,Görlitz,0
Kreba-Neudorf,38,0,856,0,Görlitz,0
Mücka,38,0,959,0,Görlitz,0
Oppach,38,0,2.328,0,Görlitz,0
Ostritz,38,0,2.241,0,Görlitz,0
Oybin,38,0,1.358,0,Görlitz,0
Reichenbach/O.L.,38,0,4.915,0,Görlitz,0
Rothenburg/O.L.,38,0,4.458,0,Görlitz,0
Schönau-Berzdorf a.d. Eigen,38,0,1.46,0,Görlitz,0
Schönbach,38,0,1.09,0,Görlitz,0
Waldhufen,38,0,2.37,0,Görlitz,0
Elstertrebnitz,1,3,1.291,2324,Leipzig,232.4
Borsdorf,2,15,8.23,1823,Leipzig,182.3
Rötha,3,10,6.128,1632,Leipzig,163.2
Borna,4,27,19.118,1412,Leipzig,141.2
Machern,5,9,6.723,1339,Leipzig,133.9
Colditz,6,11,8.422,1306,Leipzig,130.6
Kitzscher,7,6,5,1200,Leipzig,120
Lossatal,8,7,6.049,1157,Leipzig,115.7
Bennewitz,9,5,4.962,1008,Leipzig,100.8
Bad Lausick,10,8,7.984,1002,Leipzig,100.2
Zwenkau,11,9,9.28,970,Leipzig,97
Großpösna,12,5,5.371,931,Leipzig,93.1
Thallwitz,13,3,3.558,843,Leipzig,84.3
Frohburg,14,10,12.443,804,Leipzig,80.4
Groitzsch,15,6,7.586,791,Leipzig,79.1
Böhlen,16,5,6.651,752,Leipzig,75.2
Otterwisch,17,1,1.381,724,Leipzig,72.4
Wurzen,18,11,16.209,679,Leipzig,67.9
Markkleeberg,19,16,24.748,647,Leipzig,64.7
Trebsen/Mulde,20,2,3.817,524,Leipzig,52.4
Regis-Breitingen,21,2,3.897,513,Leipzig,51.3
Pegau,22,3,6.325,474,Leipzig,47.4
Neukieritzsch,23,3,6.885,436,Leipzig,43.6
Grimma,24,11,28.173,390,Leipzig,39
Markranstädt,25,6,15.781,380,Leipzig,38
Naunhof,26,3,8.774,342,Leipzig,34.2
Brandis,27,3,9.624,312,Leipzig,31.2
Belgershain,28,1,3.354,298,Leipzig,29.8
Geithain,29,2,6.858,292,Leipzig,29.2
Parthenstein,30,0,3.517,0,Leipzig,0
Radeburg,1,23,7.317,3143,Meißen,314.3
Lommatzsch,2,13,4.848,2682,Meißen,268.2
Käbschütztal,3,5,2.738,1826,Meißen,182.6
Gröditz,4,9,6.978,1290,Meißen,129
Moritzburg,5,9,8.326,1081,Meißen,108.1
Nossen,6,11,10.513,1046,Meißen,104.6
Großenhain,7,19,18.199,1044,Meißen,104.4
Meißen,8,28,28.282,990,Meißen,99
Niederau,9,4,4.044,989,Meißen,98.9
Priestewitz,10,3,3.181,943,Meißen,94.3
Diera-Zehren,11,3,3.24,926,Meißen,92.6
Radebeul,12,29,33.894,856,Meißen,85.6
Strehla,13,3,3.721,806,Meißen,80.6
Thiendorf,14,3,3.76,798,Meißen,79.8
Lampertswalde,15,3,4.417,679,Meißen,67.9
Klipphausen,16,7,10.349,676,Meißen,67.6
Stauchitz,17,2,3.093,647,Meißen,64.7
Zeithain,18,3,5.582,537,Meißen,53.7
Hirschstein,19,1,1.95,513,Meißen,51.3
Riesa,20,13,29.754,437,Meißen,43.7
Weinböhla,21,4,10.342,387,Meißen,38.7
Coswig,22,8,20.739,386,Meißen,38.6
Wülknitz,23,1,4.341,230,Meißen,23
Ebersbach,24,1,4.384,228,Meißen,22.8
Glaubitz,25,1,7.725,129,Meißen,12.9
Dorfchemnitz,1,16,1.539,1.0396,Mittelsachsen,0.10396
Altmittweida,2,12,1.914,6270,Mittelsachsen,627
Zettlitz,3,4,685,5839,Mittelsachsen,583.9
Neuhausen/Erzgeb.,4,15,2.592,5787,Mittelsachsen,578.7
Sayda,5,6,1.75,3429,Mittelsachsen,342.9
Frankenberg/Sa.,6,47,13.94,3372,Mittelsachsen,337.2
Lunzenau,7,12,4.147,2894,Mittelsachsen,289.4
Frauenstein,8,7,2.772,2525,Mittelsachsen,252.5
Wechselburg,9,4,1.778,2250,Mittelsachsen,225
Augustusburg,10,10,4.512,2216,Mittelsachsen,221.6
Großweitzschen,11,6,2.741,2189,Mittelsachsen,218.9
Penig,12,19,8.715,2180,Mittelsachsen,218
Flöha,13,23,10.696,2150,Mittelsachsen,215
