,11_15_2021
Westerheim,0
Schelklingen,2
Laichingen,3
Heroldstatt,1
Allmendingen,1
Blaubeuren,0
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,1
Oberdischingen,2
Erbach,1
Blaustein,1
Dornstadt,1
Amstetten,0
Lonsee,0
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,1
Langenau,0
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,1
Oberstadion,0
Emerkingen,1
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),5
Munderkingen,2
Rottenacker,0
Untermarchtal,1
Lauterach,0
Illerrieden,1
Schnürpflingen,1
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,24
